ds,Lat,Lon,y,unique_id
2020-01-01,51.72844036381582,7.333656647231687,2878.20787,1
2020-01-02,51.74531217517947,7.3248076584877495,4461.95026,1
2020-01-03,51.73694087690725,7.322902684254202,4390.144711,1
2020-01-04,51.73657786832952,7.307930551661522,4340.278132,1
2020-01-05,51.744239193509046,7.330141272428658,3210.874205,1
2020-01-06,51.72966512748166,7.328295168302467,4908.33612,1
2020-01-07,51.73203956966382,7.3301138727395925,4951.870403,1
2020-01-08,51.732831769150216,7.323494361124572,4871.57606,1
2020-01-09,51.726709002902844,7.3214403360427855,5112.754505,1
2020-01-10,51.7357584540763,7.328851034306529,5180.23421,1
2020-01-11,51.73304867117258,7.317105689319526,4600.969703,1
2020-01-12,51.74068251852741,7.335010236200551,3066.898036,1
2020-01-13,51.73409624195696,7.34452101137646,4894.167642,1
2020-01-14,51.72953762672648,7.325944227697263,4834.69371,1
2020-01-15,51.728283492355786,7.328130694625676,4990.174113,1
2020-01-16,51.73104636089473,7.326664976925496,5189.535318,1
2020-01-17,51.73390267012221,7.332403763477951,5102.4347530000005,1
2020-01-18,51.730806693689175,7.303075049931039,4563.985715,1
2020-01-19,51.73113238305676,7.324092799719641,3242.456053,1
2020-01-20,51.7310092525425,7.333400893140475,4878.305617,1
2020-01-21,51.73265024580777,7.333134122860035,5126.946037,1
2020-01-22,51.72633091584841,7.339254083147554,4761.966259,1
2020-01-23,51.73141854041415,7.336157484208133,5214.998477,1
2020-01-24,51.73618959930708,7.332146845454079,5265.053411,1
2020-01-25,51.731856186142636,7.308684202490052,4483.837383,1
2020-01-26,51.74038986978988,7.325475786712475,3571.801418,1
2020-01-27,51.73434215508382,7.330217620061231,4886.486946,1
2020-01-28,51.72955800723891,7.33018032098151,4903.058187,1
2020-01-29,51.72783282883206,7.329260391249154,5086.595089,1
2020-01-30,51.72963679121131,7.333506241683757,5350.303292,1
2020-01-31,51.73969002548987,7.333545525220993,5463.426682,1
2020-02-01,51.72721708964741,7.314465557069745,4769.848957,1
2020-02-02,51.73329544862454,7.325906791553743,3254.664155,1
2020-02-03,51.73315598365875,7.343667521890761,5026.086519,1
2020-02-04,51.73228451105594,7.3336626035032415,5249.895587,1
2020-02-05,51.73604202902096,7.344161176017944,5277.964629,1
2020-02-06,51.733762544898156,7.3450411610437785,5249.275777,1
2020-02-07,51.736634403488544,7.3350522224742445,5740.734703,1
2020-02-08,51.736055364842436,7.322708881546717,5074.386811,1
2020-02-09,51.74023726748882,7.338614366188519,2999.460474,1
2020-02-10,51.743293068396824,7.347320997894276,4879.283483,1
2020-02-11,51.730872497150166,7.345923785561187,5242.542448,1
2020-02-12,51.7321708018253,7.345228460275001,5368.731199,1
2020-02-13,51.7264548513495,7.331534131671525,5362.25317,1
2020-02-14,51.74325545648714,7.348300936926782,5553.317927,1
2020-02-15,51.73804968696121,7.331551985918396,5392.777671,1
2020-02-16,51.74022338774912,7.339207568681614,3126.631194,1
2020-02-17,51.734133469155346,7.345479818982187,5131.068891,1
2020-02-18,51.730611273557216,7.326508593940954,4988.625864,1
2020-02-19,51.730751516094834,7.340686504517067,5210.214013,1
2020-02-20,51.72922350522745,7.325921218470094,5098.571381,1
2020-02-21,51.74019089439963,7.33732169170945,5615.56629,1
2020-02-22,51.737396733629694,7.3228175115906735,4814.997795,1
2020-02-23,51.74395368948145,7.349858803131768,2916.984341,1
2020-02-24,51.75114167720267,7.352138961141217,4450.814137,1
2020-02-25,51.744993235337134,7.339670139175248,4937.711165,1
2020-02-26,51.73847240716042,7.341413303831887,5025.825426,1
2020-02-27,51.738454396002204,7.348011111735874,4955.882047,1
2020-02-28,51.73968392005822,7.35164822034146,5448.151075,1
2020-02-29,51.73900834897981,7.322938450258301,4815.643047,1
2020-03-01,51.75874640063725,7.3605991624934255,3536.432841,1
2020-03-02,51.746220124707975,7.351293330102059,5018.323668,1
2020-03-03,51.73932607899438,7.342200310959392,5325.242653,1
2020-03-04,51.74270287599526,7.3447802609623976,5321.976293,1
2020-03-05,51.736662194843255,7.343652731032073,5181.925935,1
2020-03-06,51.7419826495411,7.343017788078657,5236.293332,1
2020-03-07,51.740733690215336,7.3143986720972896,5254.399925,1
2020-03-08,51.74569795992807,7.350564360504302,3365.236187,1
2020-03-09,51.74179362763314,7.337022964170379,5104.137418,1
2020-03-10,51.739221935635136,7.347191384686633,4832.728732,1
2020-03-11,51.739522973489464,7.34738233349601,4990.828367,1
2020-03-12,51.733621255823394,7.344277593743508,5043.122432,1
2020-03-13,51.741549100897544,7.339253698853798,4919.697507,1
2020-03-14,51.7401803161276,7.325500252178563,4600.912035,1
2020-03-15,51.75106496944974,7.335737462077479,3355.40511,1
2020-03-16,51.74205318361077,7.328596379202128,4823.831204,1
2020-03-17,51.73892421778151,7.338695799200992,4477.305561,1
2020-03-18,51.73622962312086,7.3395937622057845,4355.499672,1
2020-03-19,51.74118580702383,7.342287814601511,4191.505798,1
2020-03-20,51.742804057148156,7.34004984813955,3922.484156,1
2020-03-21,51.73502676360293,7.3205208494521345,3565.908024,1
2020-03-22,51.753069961709194,7.3413117854856225,2620.609224,1
2020-03-23,51.75058869435065,7.3400049486837124,3792.315119,1
2020-03-24,51.732220662001836,7.3426838902173115,3705.745405,1
2020-03-25,51.73934349481374,7.347252306322383,3827.277702,1
2020-03-26,51.73904958739538,7.342554549467293,3841.788118,1
2020-03-27,51.73556868279804,7.342775751570985,4148.155781,1
2020-03-28,51.73230749948253,7.343499678777147,3871.958089,1
2020-03-29,51.74563663573925,7.347168559595323,1874.833888,1
